대주제,소주제,질문(Question),답변(Answer),관련 태그
"시스템 및 전산","IIMS 및 전산 활용","손해보험협회 시험 합격증 발급 사이트 주소는 무엇입니까?","isi.knia.or.kr 입니다.","손해보험협회, 합격증, 시험정보, 기초"
"시스템 및 전산","IIMS 및 전산 활용","협회 등록 및 위촉 일정을 확인하는 IIMS 내 경로는 무엇입니까?","IIMS > 인사관리 > 보험설계사등록일정 메뉴에서 확인할 수 있습니다.","등록일정, 위촉일정, IIMS, 일반"
"시스템 및 전산","IIMS 및 전산 활용","IIMS에서 개인정보활용동의서를 업로드하는 상세 경로는 무엇입니까?","IIMS > 인사관리 > 영업가족직원관리 > 개인정보활용동의서 파일 업로드 메뉴를 이용합니다.","개인정보활용동의서, IIMS, 파일업로드, 일반"
"시스템 및 전산","IIMS 및 전산 활용","위촉계약서 작성 시 IIMS 내에서 팝업이 뜨지 않을 경우 어떻게 합니까?","로그인 후 위촉계약서 작성 팝업이 확인되지 않으면 관리자에게 정보 입력 여부를 확인해야 합니다.","위촉계약서, IIMS, 시스템문의, 일반"
"교육 및 연수","등록 및 보수 교육","복수 종목(생·손·제3보험) 등록 교육 이수 시 교육 시간 중복 인정 및 합산 기준은 어떻게 됩니까?","신규 등록 시 종목별로 따로 이수하면 공통과목이 중복 인정되지 않으나, 병합 실시 시 공통과목(10H)이 중복 인정되어 생+손+제3보험 합계 40H로 단축됩니다. 경력자 보수교육의 경우 공통과목(15H)이 중복 인정되며, 교육 수료일 간 간격이 6개월 이내인 경우에만 중복 인정을 적용받을 수 있습니다. 6개월을 초과하여 별도 이수할 경우 공통과목을 다시 이수해야 하므로 총 교육 시간이 증가합니다.","교육시간, 중복인정, 병합교육, 보수교육기준, 심화"
"교육 및 연수","등록 및 보수 교육","신규 등록교육과 경력자 등록교육 간의 상호 인정이 가능한가요?","아니요, 신규 등록교육과 경력자 등록교육은 상호 인정되지 않습니다. 대상자의 자격 구분(신인 또는 경력)에 맞는 교육 과정을 반드시 개별적으로 이수해야 합니다.","등록교육, 교육상호인정, 교육이수기준, 일반"
"교육 및 연수","등록 및 보수 교육","보험설계사 보수교육의 종별 최소 교육 시간은 어떻게 구성되나요?","생명보험, 손해보험, 제3보험 설계사 모두 공통과목(15시간)과 해당 종별 과목(5시간)을 합산하여 총 20시간 이상의 교육을 이수해야 합니다.","보수교육, 교육시간, 공통과목, 종별과목, 일반"
"교육 및 연수","등록 및 보수 교육","손해, 생명, 제3보험 경력자가 보수교육을 병합하여 실시할 경우 총 교육 시간은?","공통과목 15시간에 손해(5H), 생명(5H), 제3보험(5H)을 각각 더하여 총 30시간을 이수하면 됩니다. 공통과목은 중복 인정됩니다.","병합교육, 보수교육시간, 중복인정, 경력자교육, 심화"
"교육 및 연수","등록 및 보수 교육","보수교육 이수 시 6개월 이내와 초과 시의 교육 시간 차이는 무엇인가요?","손해+제3보험 수료 후 6개월 이내에 생명보험 교육을 이수하면 생명보험 과목 5시간만 추가하면 되나(총 30H), 6개월을 초과할 경우 공통과목을 다시 이수해야 하므로 생명보험 교육 20시간을 별도로 이수해야 합니다(총 45H).","교육간격, 공통과목재이수, 보수교육, 이수기준, 심화"
"교육 및 연수","등록 및 보수 교육","신규 설계사 등록교육을 종별로 따로 이수할 경우 공통과목 인정 기준은?","종별(생/손/제3)로 따로 이수할 경우 공통과목(10H) 중복이 인정되지 않아 매번 다시 이수해야 합니다. 예를 들어 생명(20H)과 제3보험(20H)을 따로 이수하면 총 40시간이 소요됩니다.","신규등록교육, 공통과목, 중복불인정, 개별이수, 심화"
"교육 및 연수","등록 및 보수 교육","신규 설계사가 생명, 손해, 제3보험 등록교육을 병합하여 실시할 때의 총 교육 시간은?","공통과목 10시간에 손해(10H), 생명(10H), 제3보험(10H)을 합산하여 총 40시간을 이수하면 됩니다. 병합 실시 시에만 공통과목 중복이 인정됩니다.","병합교육, 신규교육시간, 중복인정, 교육과정, 심화"
"교육 및 연수","등록 및 보수 교육","보험대리점(유자격자) 신규 등록교육의 종별 최소 교육 시간은 설계사와 어떻게 다른가요?","대리점 교육은 공통과목 15시간을 기본으로 생명보험 20시간(총 35H), 손해보험 25시간(총 40H), 제3보험 10시간(총 25H)으로 설계사보다 교육 시간이 더 깁니다.","대리점교육, 유자격자교육, 교육시간, 신규등록, 심화"
"교육 및 연수","등록 및 보수 교육","보험연수원에서 조회가 되지 않는 '내부교육' 수료 여부는 어디서 확인하나요?","내부교육 이력은 '모집종사자교육협의회(www.ctis.or.kr)' 홈페이지의 [나의교육이력 조회] 메뉴에서 아이핀 인증 후 확인할 수 있습니다.","내부교육, 모집종사자교육협의회, 교육이력조회, 보험연수원, 일반"
"교육 및 연수","등록 및 보수 교육","경력자 등록교육 시 제3보험 과목의 세부 교과목은 무엇인가요?","제3보험산업 동향, 제3보험 신상품 동향, 제3보험 기초의학용어, 제3보험 언더라이팅, 보험금 산정 및 지급절차 등이 포함됩니다.","제3보험, 경력자교육, 교과목, 교육내용, 심화"
"교육 및 연수","등록 및 보수 교육","신규 설계사 등록교육 중 공통과목의 최소 교육 시간과 내용은?","최소 10시간이며, 보험의 의의와 역할, 보험계약과 보험약관, 보험모집 관련 법규, 모집종사자 윤리, 분쟁사례, 모집실무 등을 다룹니다.","신규교육, 공통과목, 교육시간, 교육내용, 일반"
"교육 및 연수","등록 및 보수 교육","보험대리점 등록교육 중 손해보험 과목의 최소 교육 시간은?","손해보험 과목은 최소 25시간 이상 이수해야 합니다.","대리점교육, 손해보험, 교육시간, 유자격자, 일반"
"교육 및 연수","입문 교육","입문교육 수강 후 최종적으로 완료해야 하는 절차는 무엇입니까?","과정 수료 후 수신된 SMS를 확인하여 준법서약서 작성 및 본인인증(금소법 인증)을 완료해야 합니다.","입문교육, 준법서약서, 본인인증, 금소법, 일반"
"교육 및 연수","입문 교육","입문교육 수강 가능 기간에 대한 제한 규정이 있습니까?","입문교육은 관리자가 신청한 해당 월 내에만 수강이 가능합니다.","입문교육, 수강기간, 교육운영, 일반"
"교육 및 연수","입문 교육","총무 업무 담당자도 입문교육을 이수해야 합니까?","네, 입문교육은 설계사뿐만 아니라 총무 업무자도 필수로 수강해야 합니다.","총무, 입문교육, 필수이수, 일반"
